date,time,volume,open,close,min,max
03/29/2012,19:26:01,175.93,1.32912,1.32895,1.3289,1.329155
03/29/2012,19:27:01,127.19,1.328935,1.32892,1.3289,1.32905
03/29/2012,19:28:01,99.41,1.32891,1.328925,1.32885,1.328975
03/29/2012,19:29:01,85.15,1.328885,1.3289,1.32879,1.32892
03/29/2012,19:30:01,94.93,1.328895,1.328925,1.328895,1.328945
03/29/2012,19:31:01,48.01,1.328925,1.328905,1.328885,1.328935
03/29/2012,19:32:01,87.07,1.328905,1.329,1.32889,1.329035
03/29/2012,19:33:01,147.85,1.32902,1.3289,1.328885,1.329115
03/29/2012,19:34:01,110.01,1.328885,1.32892,1.328835,1.328975
03/29/2012,19:35:01,126.48,1.328905,1.32892,1.328895,1.32902
03/29/2012,19:36:01,106.58,1.328925,1.32916,1.32892,1.32916
03/29/2012,19:37:01,117.23,1.32916,1.32921,1.329135,1.32931
03/29/2012,19:38:01,142.15,1.329225,1.329395,1.329215,1.32945
03/29/2012,19:39:01,120.41,1.329405,1.329265,1.329235,1.329415
03/29/2012,19:40:01,102.46,1.329265,1.3293,1.329225,1.32944
03/29/2012,19:41:01,124.69,1.329295,1.329365,1.329235,1.329475
03/29/2012,19:42:01,102.89,1.329365,1.329355,1.329305,1.329445
03/29/2012,19:43:01,210.49,1.329355,1.329525,1.329295,1.329525
03/29/2012,19:44:01,246.57,1.32953,1.329355,1.329285,1.32964
03/29/2012,19:45:01,243.61,1.329355,1.32961,1.329345,1.32967
03/29/2012,19:46:01,150.12,1.329625,1.329405,1.329405,1.329675
03/29/2012,19:47:01,151.29,1.32941,1.32932,1.329245,1.32943
03/29/2012,19:48:01,183.61,1.329305,1.32921,1.32915,1.329525
03/29/2012,19:49:01,138.06,1.32921,1.32938,1.329205,1.329415
03/29/2012,19:50:01,219.36,1.32938,1.3294,1.32929,1.32947
03/29/2012,19:51:01,126.36,1.32939,1.329565,1.32939,1.32957
03/29/2012,19:52:01,107.82,1.32955,1.329525,1.32949,1.32956
03/29/2012,19:53:01,173.22,1.32952,1.32939,1.32938,1.32959
03/29/2012,19:54:01,117.22,1.329395,1.32958,1.329395,1.329615
03/29/2012,19:55:01,108.05,1.329595,1.32959,1.329565,1.3297
03/29/2012,19:56:01,100.34,1.32958,1.329505,1.329485,1.329615
03/29/2012,19:57:01,143.73,1.329495,1.329665,1.329475,1.329665
03/29/2012,19:58:01,111.63,1.32967,1.32949,1.329465,1.329675
03/29/2012,19:59:01,131.98,1.32951,1.32943,1.329425,1.32954
03/29/2012,20:00:01,121.23,1.32944,1.32953,1.32937,1.329545
03/29/2012,20:01:01,111.76,1.32953,1.329665,1.3295,1.32967
03/29/2012,20:02:01,112.89,1.329655,1.32964,1.329595,1.32966
03/29/2012,20:03:01,112.53,1.32964,1.329745,1.32964,1.329745
03/29/2012,20:04:01,120.07,1.329745,1.329725,1.329695,1.329755
03/29/2012,20:05:01,102.46,1.32974,1.329665,1.32966,1.32976
03/29/2012,20:06:01,122.94,1.32966,1.329585,1.329575,1.329685
03/29/2012,20:07:01,94.47,1.32958,1.329655,1.32958,1.32966
03/29/2012,20:08:01,58.78,1.32965,1.32963,1.329605,1.32967
03/29/2012,20:09:01,81.43,1.32963,1.32962,1.329585,1.329665
03/29/2012,20:10:01,108.7,1.32962,1.32964,1.329585,1.32968
03/29/2012,20:11:01,56.86,1.329655,1.329605,1.329585,1.329655
03/29/2012,20:12:01,38.33,1.329585,1.329685,1.329585,1.329685
03/29/2012,20:13:01,73.69,1.3297,1.32966,1.329625,1.329705
03/29/2012,20:14:01,103.41,1.329685,1.329695,1.329605,1.32972
03/29/2012,20:15:01,66.19,1.329675,1.32981,1.32966,1.32985
03/29/2012,20:16:01,72.81,1.329795,1.32975,1.329725,1.32981
03/29/2012,20:17:01,85.67,1.329735,1.329715,1.329685,1.329795
03/29/2012,20:18:01,40.77,1.32972,1.32969,1.329665,1.32972
03/29/2012,20:19:01,93.15,1.329665,1.32969,1.32966,1.32975
03/29/2012,20:20:01,36.57,1.329685,1.32967,1.329655,1.329725
03/29/2012,20:21:01,66.3,1.32967,1.32965,1.329635,1.32971
03/29/2012,20:22:01,69.47,1.329685,1.32972,1.32966,1.32972
03/29/2012,20:23:01,80.49,1.329705,1.329765,1.32968,1.329765
03/29/2012,20:24:01,78.75,1.329775,1.32984,1.329775,1.32986
03/29/2012,20:25:01,65.09,1.329855,1.32984,1.32979,1.329865
03/29/2012,20:26:01,120.16,1.329825,1.32984,1.32978,1.32991
03/29/2012,20:27:01,85.89,1.32983,1.329885,1.32979,1.329895
03/29/2012,20:28:01,96.26,1.329895,1.32983,1.32983,1.329935
03/29/2012,20:29:01,109.47,1.329835,1.329945,1.329835,1.329955
03/29/2012,20:30:01,80.88,1.32995,1.329935,1.329905,1.329985
03/29/2012,20:31:01,115.52,1.329945,1.32996,1.329915,1.33001
03/29/2012,20:32:01,97.69,1.32998,1.329975,1.329945,1.33002
03/29/2012,20:33:01,135.36,1.329975,1.33019,1.329925,1.33026
03/29/2012,20:34:01,111.32,1.33018,1.330115,1.330115,1.33026
03/29/2012,20:35:01,98.23,1.33013,1.330075,1.330065,1.33016
